Vendor,Camera,Sensor Dimensions Name,Focal Length,Resolution Width,Resolution Height,Sensor mm Width,Sensor mm Height,Sensor mm Diagonal,Sensor Inches Width,Sensor Inches Height,Sensor Inches Diagonal,Info
ARRI,ALEXA 65,Open Gate,,6560,3100,54.12,25.58,59.861,2.131,1.007,2.357,
ARRI,ALEXA 65,LF Open Gate,,4448,3096,36.7,25.54,44.712,1.44,1.01,1.759,
ARRI,ALEXA 65,16:9,,5120,2880,42.24,23.76,48.464,1.663,0.935,1.908,
ARRI,ALEXA 65,3:2,,4320,2880,35.64,23.76,42.834,1.403,0.935,1.686,
ARRI,ALEXA LF,LF Open Gate Mode OG 4.5K,,4448,3096,36.7,25.54,44.712,1.445,1.005,1.76,
ARRI,ALEXA LF,LF 2.39:1 Scope Mode 4.5K,,4448,1856,36.7,15.31,39.765,1.445,0.603,1.566,
ARRI,ALEXA LF,LF 16:9 Mode 4K UHD,,3840,2160,31.68,17.82,36.348,1.247,0.702,1.431,
ARRI,ALEXA LF,LF 16:9 Mode 2K,,2048,1152,31.68,17.82,36.348,1.247,0.702,1.431,
ARRI,ALEXA LF,LF 16:9 Mode HD,,1920,1080,31.68,17.82,36.348,1.247,0.702,1.431,
ARRI,ALEXA Mini,4K UHD,,3840,2160,26.4,14.85,30.29,1.039,0.585,1.192,
ARRI,ALEXA Mini,3.4K Open Gate,,3424,2202,28.25,18.17,33.589,1.112,0.715,1.322,
ARRI,ALEXA Mini,3.2K,,3200,1800,26.4,14.85,30.29,1.039,0.585,1.192,
ARRI,ALEXA Mini,2.8K 4:3,,2880,2160,23.76,17.82,29.7,0.935,0.702,1.169,
ARRI,ALEXA Mini,2.8K,,2880,1620,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA Mini,2K Anamorphic 2.39:1 2560 x 2145,,2560,2145,21.12,17.7,27.556,0.831,0.697,1.085,
ARRI,ALEXA Mini,2K,,2048,1152,23.66,13.3,27.142,0.932,0.524,1.069,
ARRI,ALEXA Mini,2K Anamorphic 2.39:1 2048 x 858,,2048,858,21.12,17.7,27.556,0.831,0.697,1.085,
ARRI,ALEXA Mini,HD Anamorphic 16:9,,1920,2160,15.84,17.82,23.842,0.624,0.702,0.939,
ARRI,ALEXA Mini,HD Anamorphic,,1920,1080,15.84,17.82,23.842,0.624,0.702,0.939,
ARRI,ALEXA Mini,HD,,1920,1080,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA Mini,S16 HD,,1920,1080,13.2,7.425,15.145,0.52,0.292,0.596,
ARRI,ALEXA SXT Studio,Open Gate Mode 4K Cine,,4096,2636,28.17,18.13,33.5,1.109,0.714,1.319,
ARRI,ALEXA SXT Studio,Open Gate Mode 3.4K,,3424,2202,28.25,18.17,33.589,1.112,0.715,1.322,
ARRI,ALEXA SXT Studio,6:5 Mode 4K Cine Anamorphic,,4096,1716,21.12,17.7,27.556,0.831,0.697,1.085,
ARRI,ALEXA SXT Studio,6:5 Mode 2.6K,,2578,2160,21.38,17.82,27.833,0.842,0.702,1.096,
ARRI,ALEXA SXT Studio,6:5 Mode 2K Anamorphic,,2048,858,21.12,17.7,27.556,0.831,0.697,1.085,
ARRI,ALEXA SXT Studio,4:3 Mode 2.8K,,2880,2160,23.76,17.82,29.7,0.935,0.702,1.169,
ARRI,ALEXA SXT Studio,16:9 Mode 4K UHD,,3840,2160,26.4,14.85,30.29,1.039,0.585,1.192,
ARRI,ALEXA SXT Studio,16:9 Mode 3.2K 3200 x 1800,,3200,1800,26.4,14.85,30.29,1.039,0.585,1.192,
ARRI,ALEXA SXT Studio,16:9 Mode 3.2K 3168 x 1782,,3168,1782,26.14,14.7,29.99,1.029,0.579,1.181,
ARRI,ALEXA SXT Studio,16:9 Mode 2.8K,,2880,1620,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA SXT Studio,16:9 Mode 2K,,2048,1152,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA SXT Studio,16:9 Mode HD,,1920,1080,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA SXT Plus,Open Gate Mode 4K Cine,,4096,2636,28.17,18.13,33.5,1.109,0.714,1.319,
ARRI,ALEXA SXT Plus,Open Gate Mode 3.4K,,3424,2202,28.25,18.17,33.589,1.112,0.715,1.322,
ARRI,ALEXA SXT Plus,6:5 Mode 4K Cine Anamorphic,,4096,1716,21.12,17.7,27.556,0.831,0.697,1.085,
ARRI,ALEXA SXT Plus,6:5 Mode 2.6K,,2578,2160,21.38,17.82,27.833,0.842,0.702,1.096,
ARRI,ALEXA SXT Plus,6:5 Mode 2K Anamorphic,,2048,858,21.12,17.7,27.556,0.831,0.697,1.085,
ARRI,ALEXA SXT Plus,4:3 Mode 2.8K,,2880,2160,23.76,17.82,29.7,0.935,0.702,1.169,
ARRI,ALEXA SXT Plus,16:9 Mode 4K UHD,,3840,2160,26.4,14.85,30.29,1.039,0.585,1.192,
ARRI,ALEXA SXT Plus,16:9 Mode 3.2K 3200 x 1800,,3200,1800,26.4,14.85,30.29,1.039,0.585,1.192,
ARRI,ALEXA SXT Plus,16:9 Mode 3.2K 3168 x 1782,,3168,1782,26.14,14.7,29.99,1.029,0.579,1.181,
ARRI,ALEXA SXT Plus,16:9 Mode 2.8K,,2880,1620,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA SXT Plus,16:9 Mode 2K,,2048,1152,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA SXT Plus,16:9 Mode HD,,1920,1080,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA SXT,Open Gate Mode 4K Cine,,4096,2636,28.17,18.13,33.5,1.109,0.714,1.319,
ARRI,ALEXA SXT,Open Gate Mode 3.4K,,3424,2202,28.25,18.17,33.589,1.112,0.715,1.322,
ARRI,ALEXA SXT,6:5 Mode 4K Cine Anamorphic,,4096,1716,21.12,17.7,27.556,0.831,0.697,1.085,
ARRI,ALEXA SXT,6:5 Mode 2.6K,,2578,2160,21.38,17.82,27.833,0.842,0.702,1.096,
ARRI,ALEXA SXT,6:5 Mode 2K Anamorphic,,2048,858,21.12,17.7,27.556,0.831,0.697,1.085,
ARRI,ALEXA SXT,4:3 Mode 2.8K,,2880,2160,23.76,17.82,29.7,0.935,0.702,1.169,
ARRI,ALEXA SXT,16:9 Mode 4K UHD,,3840,2160,26.4,14.85,30.29,1.039,0.585,1.192,
ARRI,ALEXA SXT,16:9 Mode 3.2K 3200 x 1800,,3200,1800,26.4,14.85,30.29,1.039,0.585,1.192,
ARRI,ALEXA SXT,16:9 Mode 3.2K 3168 x 1782,,3168,1782,26.14,14.7,29.99,1.029,0.579,1.181,
ARRI,ALEXA SXT,16:9 Mode 2.8K,,2880,1620,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA SXT,16:9 Mode 2K,,2048,1152,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA SXT,16:9 Mode HD,,1920,1080,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA XR Studio,Open Gate Mode Open Gate,,3414,2198,28.25,18.17,33.589,1.112,0.715,1.322,
ARRI,ALEXA XR Studio,4:3 Mode Full,,2880,2160,23.76,17.82,29.7,0.935,0.702,1.169,
ARRI,ALEXA XR Studio,4:3 Mode Cropped,,2578,2160,21.27,17.82,27.748,0.837,0.702,1.092,
ARRI,ALEXA XR Studio,4:3 Mode 2K,,2048,1536,23.66,17.75,29.578,0.932,0.699,1.165,
ARRI,ALEXA XR Studio,16:9 Mode 3.2K,,3164,1778,26.14,14.7,29.99,1.029,0.579,1.181,
ARRI,ALEXA XR Studio,16:9 Mode 2.8K,,2880,1620,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA XR Studio,16:9 Mode 2K,,2048,1152,23.66,13.32,27.152,0.932,0.524,1.069,
ARRI,ALEXA XR Studio,16:9 Mode HD,,1920,1080,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA XR Plus,Open Gate Mode Open Gate,,3414,2198,28.25,18.17,33.589,1.112,0.715,1.322,
ARRI,ALEXA XR Plus,4:3 Mode Full,,2880,2160,23.76,17.82,29.7,0.935,0.702,1.169,
ARRI,ALEXA XR Plus,4:3 Mode Cropped,,2578,2160,21.27,17.82,27.748,0.837,0.702,1.092,
ARRI,ALEXA XR Plus,4:3 Mode 2K,,2048,1536,23.66,17.75,29.578,0.932,0.699,1.165,
ARRI,ALEXA XR Plus,16:9 Mode 3.2K,,3164,1778,26.14,14.7,29.99,1.029,0.579,1.181,
ARRI,ALEXA XR Plus,16:9 Mode 2.8K,,2880,1620,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA XR Plus,16:9 Mode 2K,,2048,1152,23.66,13.32,27.152,0.932,0.524,1.069,
ARRI,ALEXA XR Plus,16:9 Mode HD,,1920,1080,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA XT B+W,Open Gate Mode Open Gate,,3414,2198,28.25,18.17,33.589,1.112,0.715,1.322,
ARRI,ALEXA XT B+W,4:3 Mode Full,,2880,2160,23.76,17.82,29.7,0.935,0.702,1.169,
ARRI,ALEXA XT B+W,4:3 Mode Cropped,,2578,2160,21.27,17.82,27.748,0.837,0.702,1.092,
ARRI,ALEXA XT B+W,4:3 Mode 2K,,2048,1536,23.66,17.75,29.578,0.932,0.699,1.165,
ARRI,ALEXA XT B+W,16:9 Mode 3.2K,,3164,1778,26.14,14.7,29.99,1.029,0.579,1.181,
ARRI,ALEXA XT B+W,16:9 Mode 2.8K,,2880,1620,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA XT B+W,16:9 Mode 2K,,2048,1152,23.66,13.32,27.152,0.932,0.524,1.069,
ARRI,ALEXA XT B+W,16:9 Mode HD,,1920,1080,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA XT Studio,Open Gate Mode Open Gate,,3414,2198,28.25,18.17,33.589,1.112,0.715,1.322,
ARRI,ALEXA XT Studio,4:3 Mode Full,,2880,2160,23.76,17.82,29.7,0.935,0.702,1.169,
ARRI,ALEXA XT Studio,4:3 Mode Cropped,,2578,2160,21.27,17.82,27.748,0.837,0.702,1.092,
ARRI,ALEXA XT Studio,4:3 Mode 2K,,2048,1536,23.66,17.75,29.578,0.932,0.699,1.165,
ARRI,ALEXA XT Studio,16:9 Mode 3.2K,,3164,1778,26.14,14.7,29.99,1.029,0.579,1.181,
ARRI,ALEXA XT Studio,16:9 Mode 2.8K,,2880,1620,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA XT Studio,16:9 Mode 2K,,2048,1152,23.66,13.32,27.152,0.932,0.524,1.069,
ARRI,ALEXA XT Studio,16:9 Mode HD,,1920,1080,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA XT Plus,Open Gate Mode Open Gate,,3414,2198,28.25,18.17,33.589,1.112,0.715,1.322,
ARRI,ALEXA XT Plus,4:3 Mode Full,,2880,2160,23.76,17.82,29.7,0.935,0.702,1.169,
ARRI,ALEXA XT Plus,4:3 Mode Cropped,,2578,2160,21.27,17.82,27.748,0.837,0.702,1.092,
ARRI,ALEXA XT Plus,4:3 Mode 2K,,2048,1536,23.66,17.75,29.578,0.932,0.699,1.165,
ARRI,ALEXA XT Plus,16:9 Mode 3.2K,,3164,1778,26.14,14.7,29.99,1.029,0.579,1.181,
ARRI,ALEXA XT Plus,16:9 Mode 2.8K,,2880,1620,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA XT Plus,16:9 Mode 2K,,2048,1152,23.66,13.32,27.152,0.932,0.524,1.069,
ARRI,ALEXA XT Plus,16:9 Mode HD,,1920,1080,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA XT M,Open Gate Mode Open Gate,,3414,2198,28.25,18.17,33.589,1.112,0.715,1.322,
ARRI,ALEXA XT M,4:3 Mode Full,,2880,2160,23.76,17.82,29.7,0.935,0.702,1.169,
ARRI,ALEXA XT M,4:3 Mode Cropped,,2578,2160,21.27,17.82,27.748,0.837,0.702,1.092,
ARRI,ALEXA XT M,4:3 Mode 2K,,2048,1536,23.66,17.75,29.578,0.932,0.699,1.165,
ARRI,ALEXA XT M,16:9 Mode 3.2K,,3164,1778,26.14,14.7,29.99,1.029,0.579,1.181,
ARRI,ALEXA XT M,16:9 Mode 2.8K,,2880,1620,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA XT M,16:9 Mode 2K,,2048,1152,23.66,13.32,27.152,0.932,0.524,1.069,
ARRI,ALEXA XT M,16:9 Mode HD,,1920,1080,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA XT,Open Gate Mode Open Gate,,3414,2198,28.25,18.17,33.589,1.112,0.715,1.322,
ARRI,ALEXA XT,4:3 Mode Full,,2880,2160,23.76,17.82,29.7,0.935,0.702,1.169,
ARRI,ALEXA XT,4:3 Mode Cropped,,2578,2160,21.27,17.82,27.748,0.837,0.702,1.092,
ARRI,ALEXA XT,4:3 Mode 2K,,2048,1536,23.66,17.75,29.578,0.932,0.699,1.165,
ARRI,ALEXA XT,16:9 Mode 3.2K,,3164,1778,26.14,14.7,29.99,1.029,0.579,1.181,
ARRI,ALEXA XT,16:9 Mode 2.8K,,2880,1620,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA XT,16:9 Mode 2K,,2048,1152,23.66,13.32,27.152,0.932,0.524,1.069,
ARRI,ALEXA XT,16:9 Mode HD,,1920,1080,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA Studio,All,,,,23.76,17.82,29.7,0.935,0.702,1.169,
ARRI,ALEXA Plus,All,,,,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA M,All,,,,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,ALEXA,All,,,,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,AMIRA Premium,4K UHD,,3840,2160,26.4,14.85,30.29,1.039,0.585,1.192,
ARRI,AMIRA Premium,3.4K Open Gate,,3424,2202,28.25,18.17,33.589,1.112,0.715,1.322,
ARRI,AMIRA Premium,3.2K,,3200,1800,26.4,14.85,30.29,1.039,0.585,1.192,
ARRI,AMIRA Premium,2.8K,,2880,1620,23.76,17.82,29.7,0.935,0.702,1.169,
ARRI,AMIRA Premium,2K,,2048,1152,23.66,13.3,27.142,0.932,0.524,1.069,
ARRI,AMIRA Premium,HD,,1920,1080,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,AMIRA Premium,S16 HD,,1920,1080,13.2,7.425,15.145,0.52,0.292,0.596,
ARRI,AMIRA Advanced,4K UHD,,3840,2160,26.4,14.85,30.29,1.039,0.585,1.192,
ARRI,AMIRA Advanced,3.4K Open Gate,,3424,2202,28.25,18.17,33.589,1.112,0.715,1.322,
ARRI,AMIRA Advanced,3.2K,,3200,1800,26.4,14.85,30.29,1.039,0.585,1.192,
ARRI,AMIRA Advanced,2.8K,,2880,1620,23.76,17.82,29.7,0.935,0.702,1.169,
ARRI,AMIRA Advanced,2K,,2048,1152,23.66,13.3,27.142,0.932,0.524,1.069,
ARRI,AMIRA Advanced,HD,,1920,1080,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,AMIRA Advanced,S16 HD,,1920,1080,13.2,7.425,15.145,0.52,0.292,0.596,
ARRI,AMIRA,4K UHD,,3840,2160,26.4,14.85,30.29,1.039,0.585,1.192,
ARRI,AMIRA,3.4K Open Gate,,3424,2202,28.25,18.17,33.589,1.112,0.715,1.322,
ARRI,AMIRA,3.2K,,3200,1800,26.4,14.85,30.29,1.039,0.585,1.192,
ARRI,AMIRA,2.8K,,2880,1620,23.76,17.82,29.7,0.935,0.702,1.169,
ARRI,AMIRA,2K,,2048,1152,23.66,13.3,27.142,0.932,0.524,1.069,
ARRI,AMIRA,HD,,1920,1080,23.76,13.37,27.263,0.935,0.526,1.073,
ARRI,AMIRA,S16 HD,,1920,1080,13.2,7.425,15.145,0.52,0.292,0.596,
ARRI,Arriflex D-21,All,,,,23.76,13.365,27.261,0.9354,0.5262,1.073,
ARRI,Arriflex D-20,All,,,,23.76,13.365,27.261,0.9354,0.5262,1.073,
Blackmagic,URSA 4.6K,All,,,,25.34,14.25,29.072,0.997,0.561,1.144,
Blackmagic,URSA 4K,All,,,,21.12,11.88,24.232,0.831,0.467,0.953,
Blackmagic,URSA Mini Pro 4.6K G2,4.6K 16:9,,4608,2592,25.34,14.25,29.072,0.997,0.561,1.144,
Blackmagic,URSA Mini Pro 4.6K G2,4.6K 2.40:1,,4608,1920,25.34,10.55,27.448,0.997,0.415,1.08,
Blackmagic,URSA Mini Pro 4.6K G2,4K 16:9,,4096,2304,22.52,12.66,25.835,0.887,0.498,1.017,
Blackmagic,URSA Mini Pro 4.6K G2,4K DCI,,4096,2160,22.52,11.87,25.457,0.887,0.467,1.002,
Blackmagic,URSA Mini Pro 4.6K G2,Ultra HD,,3840,2160,21.12,11.87,24.227,0.831,0.467,0.953,
Blackmagic,URSA Mini Pro 4.6K G2,3K Anamorphic,,3072,2560,16.89,14.07,21.983,0.665,0.554,0.866,
Blackmagic,URSA Mini Pro 4.6K G2,2K 16:9,,2048,1152,11.26,6.33,12.917,0.443,0.249,0.508,
Blackmagic,URSA Mini Pro 4.6K G2,2K DCI,,2048,1080,11.26,5.93,12.726,0.443,0.233,0.501,
Blackmagic,URSA Mini Pro 4.6K G2,HD,,1920,1080,10.55,5.93,12.102,0.415,0.233,0.476,
Blackmagic,URSA Mini Pro 4.6K,4.6K 16:9,,4608,2592,25.34,14.25,29.072,0.997,0.561,1.144,
Blackmagic,URSA Mini Pro 4.6K,4.6K 2.40:1,,4608,1920,25.34,10.55,27.448,0.997,0.415,1.08,
Blackmagic,URSA Mini Pro 4.6K,4K 16:9,,4096,2304,22.52,12.66,25.835,0.887,0.498,1.017,
Blackmagic,URSA Mini Pro 4.6K,4K DCI,,4096,2160,22.52,11.87,25.457,0.887,0.467,1.002,
Blackmagic,URSA Mini Pro 4.6K,Ultra HD,,3840,2160,21.12,11.87,24.227,0.831,0.467,0.953,
Blackmagic,URSA Mini Pro 4.6K,3K Anamorphic,,3072,2560,16.89,14.07,21.983,0.665,0.554,0.866,
Blackmagic,URSA Mini Pro 4.6K,2K 16:9,,2048,1152,11.26,6.33,12.917,0.443,0.249,0.508,
Blackmagic,URSA Mini Pro 4.6K,2K DCI,,2048,1080,11.26,5.93,12.726,0.443,0.233,0.501,
Blackmagic,URSA Mini Pro 4.6K,HD,,1920,1080,10.55,5.93,12.102,0.415,0.233,0.476,
Blackmagic,URSA Mini 4.6k,All,,,,25.34,14.25,29.072,0.997,0.561,1.144,
Blackmagic,URSA Mini 4k,All,,,,22.0,11.88,25.003,0.866,0.467,0.984,
Blackmagic,URSA Broadcast,All,,,,13.056,7.344,14.98,0.514,0.289,0.59,
Blackmagic,Studio Camera 4K,All,,,,13.056,7.344,14.98,0.514,0.289,0.59,
Blackmagic,Studio Camera HD,All,,,,12.48,7.02,14.319,0.491,0.276,0.563,
Blackmagic,Micro Studio Camera 4K,All,,,,13.056,7.344,14.98,0.514,0.289,0.59,
Blackmagic,Micro Cinema Camera,All,,,,12.48,7.02,14.319,0.491,0.276,0.563,
Blackmagic,Production Camera 4K,All,,,,21.12,11.88,24.232,0.831,0.468,0.954,
Blackmagic,Cinema Camera,All,,,,15.81,8.88,18.133,0.622,0.35,0.714,
Blackmagic,Pocket Cinema Camera 4K,All,,,,18.96,10.0,21.436,0.746,0.394,0.844,
Blackmagic,Pocket Cinema Camera,All,,,,12.48,7.02,14.319,0.491,0.276,0.563,
Blackmagic,Cinema Camera 6K,6K 3:2,,6048,4032,36,24,43.267,1.417,0.945,1.703,
Blackmagic,Cinema Camera 6K,6K 17:9,,6048,3200,36.0,19.048,40.729,1.417,0.75,1.603,
Blackmagic,Cinema Camera 6K,6K 2.4:1,,6048,2520,36,15,39.0,1.417,0.591,1.535,
Blackmagic,Cinema Camera 6K,4K 6:5,,4832,4032,28.762,24.0,37.46,1.132,0.945,1.475,
Blackmagic,Cinema Camera 6K,4K 4:3,,4096,3072,24.381,18.286,30.476,0.96,0.72,1.2,
Blackmagic,Cinema Camera 6K,4K 17:9,,4096,2160,24.381,12.857,27.563,0.96,0.506,1.085,
Blackmagic,Cinema Camera 6K,2K 16:9,,2112,1184,12.571,7.048,14.412,0.495,0.277,0.567,
Blackmagic,Cinema Camera 6K,HD 16:9,,1920,1080,11.429,6.429,13.113,0.45,0.253,0.516,
Blackmagic,PYXIS 6K,6K 3:2,,6048,4032,36,24,43.267,1.417,0.945,1.703,
Blackmagic,PYXIS 6K,6K 17:9,,6048,3200,36.0,19.048,40.729,1.417,0.75,1.603,
Blackmagic,PYXIS 6K,6K 2.4:1,,6048,2520,36,15,39.0,1.417,0.591,1.535,
Blackmagic,PYXIS 6K,4K 6:5,,4832,4032,28.762,24.0,37.46,1.132,0.945,1.475,
Blackmagic,PYXIS 6K,4K 4:3,,4096,3072,24.381,18.286,30.476,0.96,0.72,1.2,
Blackmagic,PYXIS 6K,4K 17:9,,4096,2160,24.381,12.857,27.563,0.96,0.506,1.085,
Blackmagic,PYXIS 6K,2K 16:9,,2112,1184,12.571,7.048,14.412,0.495,0.277,0.567,
Blackmagic,PYXIS 6K,HD 16:9,,1920,1080,11.429,6.429,13.113,0.45,0.253,0.516,
Canon,EOS C700,All,,,,24.0,13.5,27.536,0.945,0.531,1.084,
Canon,EOS C700 GS PL,All,,,,24.0,13.5,27.536,0.945,0.531,1.084,
Canon,EOS C500,4K 17:9 Mode,,4096,2160,26.21,13.82,29.63,1.032,0.544,1.167,
Canon,EOS C500,4K 16:9 Mode,,3840,2160,24.58,13.82,28.199,0.968,0.544,1.11,
Canon,EOS C500,2K 17:9 Mode,,2048,1080,26.21,13.82,29.63,1.032,0.544,1.167,
Canon,EOS C500,2K 16:9 Mode,,1920,1080,24.58,13.82,28.199,0.968,0.544,1.11,
Canon,EOS C300 Mark II,All,,,,24.6,13.8,28.206,0.968,0.543,1.11,
Canon,EOS C300,All,,,,24.6,13.8,28.206,0.968,0.543,1.11,
Canon,EOS C100 Mark II,All,,,,24.6,13.8,28.206,0.968,0.543,1.11,
Canon,EOS C100,All,,,,24.6,13.8,28.206,0.968,0.543,1.11,
Canon,EOS 1D C,All,,,,36.0,20.25,41.305,1.417,0.797,1.626,
Canon,ME200S-SH,All,,,,24.6,13.8,28.206,0.968,0.543,1.11,
Canon,ME20F-SH,All,,,,24.6,13.8,28.206,0.968,0.543,1.11,
Canon,XC10 4K Camcorder,All,,,,12.8,9.6,16.0,0.504,0.378,0.63,
Canon,EOS 1D X,All,,,,36.0,20.25,41.305,1.417,0.797,1.626,
Canon,EOS 1D Mark IV,All,,,,27.9,15.7,32.014,1.098,0.618,1.26,
Canon,EOS 5D Mark IV,All,,,,36.0,20.25,41.305,1.417,0.797,1.626,
Canon,EOS 5D Mark III,All,,,,36.0,20.25,41.305,1.417,0.797,1.626,
Canon,EOS 5D Mark II,All,,,,36.0,20.25,41.305,1.417,0.797,1.626,
Canon,EOS 6D,All,,,,35.8,20.1,41.057,1.409,0.793,1.617,
Canon,EOS 7D Mark II,All,,,,22.4,12.6,25.701,0.882,0.496,1.012,
Canon,EOS 7D,All,,,,22.3,12.5,25.564,0.878,0.492,1.006,
Canon,EOS 60Da,All,,,,22.3,12.5,25.564,0.878,0.492,1.006,
Canon,EOS 60D,All,,,,22.3,12.5,25.564,0.878,0.492,1.006,
Canon,EOS 70D,All,,,,22.5,12.7,25.837,0.886,0.498,1.016,
Canon,EOS 80D,All,,,,22.5,12.7,25.837,0.886,0.498,1.016,
Canon,EOS 700D / Rebel T5i,All,,,,22.3,12.5,25.564,0.878,0.492,1.006,
Canon,EOS 650D / Rebel T4i,All,,,,22.3,12.5,25.564,0.878,0.492,1.006,
Canon,EOS 600D / Rebel T3i,All,,,,22.3,12.5,25.564,0.878,0.492,1.006,
Canon,EOS 550D / Rebel T2i,All,,,,22.3,12.5,25.564,0.878,0.492,1.006,
Panasonic,VariCam Pure,All,,,,23.6,13.3,27.09,0.929,0.524,1.067,
Panasonic,VariCam 35,All,,,,23.6,13.3,27.09,0.929,0.524,1.067,
Panasonic,VariCam LT,All,,,,23.6,13.3,27.09,0.929,0.524,1.067,
Panasonic,VariCam HS,All,,,,8.8,6.6,11.0,0.346,0.26,0.433,
Panasonic,VariCam AJ-HDC27H,All,,,,9.59,5.39,11.001,0.377,0.212,0.433,
Panasonic,AG-UX180,All,,,,12.8,7.2,14.686,0.504,0.283,0.578,
Panasonic,AG-UX90,All,,,,12.8,7.2,14.686,0.504,0.283,0.578,
Panasonic,AG-DVX200,All,,,,17.3,9.7,19.834,0.681,0.383,0.781,
Panasonic,AG-AF100,All,,,,17.3,13.0,21.64,0.68,0.51,0.85,
Panasonic,Lumix GH5,All,,,,17.3,13.0,21.64,0.68,0.51,0.85,
Panasonic,Lumix GH4,All,,,,17.3,13.0,21.64,0.68,0.51,0.85,
Panasonic,Lumix GH3,All,,,,17.3,13.0,21.64,0.68,0.51,0.85,
Panasonic,Lumix GH2,All,,,,17.3,13.0,21.64,0.68,0.51,0.85,
Panasonic,Lumix GH1,All,,,,17.3,13.0,21.64,0.68,0.51,0.85,
Panavision,Millennium DXL2,1.9:1 Mode 8K Open Gate,,8192,4320,40.96,21.6,46.306,1.613,0.85,1.823,
Panavision,Millennium DXL2,1.9:1 Mode 7.5K,,7680,4080,38.4,20.4,43.482,1.512,0.803,1.712,
Panavision,Millennium DXL2,1.9:1 Mode 7K,,7168,3780,35.84,18.9,40.518,1.411,0.744,1.595,
Panavision,Millennium DXL2,1.9:1 Mode 6.5K,,6656,3536,33.28,17.68,37.685,1.31,0.696,1.483,
Panavision,Millennium DXL2,1.9:1 Mode 6K,,6144,3240,30.72,16.2,34.73,1.209,0.638,1.367,
Panavision,Millennium DXL2,1.9:1 Mode 5K,,5120,2700,25.6,13.5,28.941,1.008,0.531,1.139,
Panavision,Millennium DXL2,1.9:1 Mode 4K,,4096,2160,20.48,10.8,23.153,0.806,0.425,0.911,
Panavision,Millennium DXL2,1.9:1 Mode 3K,,3072,1620,15.36,8.1,17.365,0.605,0.319,0.684,
Panavision,Millennium DXL2,1.9:1 Mode 2K,,2048,1080,10.24,5.4,11.577,0.403,0.213,0.456,
Panavision,Millennium DXL2,1.78:1 Mode 8K Open Gate,,8192,4320,40.96,21.6,46.306,1.613,0.85,1.823,
Panavision,Millennium DXL2,1.78:1 Mode 8K,,7680,4320,38.4,21.6,44.058,1.512,0.85,1.735,
Panavision,Millennium DXL2,1.78:1 Mode 7.5K,,7296,4104,36.48,20.52,41.855,1.436,0.808,1.648,
Panavision,Millennium DXL2,1.78:1 Mode 7K,,6720,3780,33.6,18.9,38.551,1.323,0.744,1.518,
Panavision,Millennium DXL2,1.78:1 Mode 6.5K,,6144,3456,30.72,17.28,35.247,1.209,0.68,1.387,
Panavision,Millennium DXL2,1.78:1 Mode 6K,,5760,3240,28.8,16.2,33.044,1.134,0.638,1.301,
Panavision,Millennium DXL2,1.78:1 Mode 5K,,4800,2700,24.0,13.5,27.536,0.945,0.531,1.084,
Panavision,Millennium DXL2,1.78:1 Mode 4K,,3840,2160,19.2,10.8,22.029,0.756,0.425,0.867,
Panavision,Millennium DXL2,2.4:1 WS Mode 8K Open Gate,,8192,4320,40.96,21.6,46.306,1.613,0.85,1.823,
Panavision,Millennium DXL2,2.4:1 WS Mode 8K,,8192,3456,40.96,17.28,44.456,1.613,0.68,1.75,
Panavision,Millennium DXL2,2.4:1 WS Mode 7.5K,,7680,3240,38.4,16.2,41.677,1.512,0.638,1.641,
